Word,Count
the,5
------------------------------------------------------------------------------,4
by,4
code,4
a,3
/,3
class,3
file,3
This,3
and,3
is,2
incorrect,2
lost,2
was,2
be,2
tool,2
may,2
Version:4.0.30319.42000,2
this,2
MSBuild,2
Changes,2
</auto-generated>,2
WriteCodeFragment,2
will,2
behavior,2
Runtime,2
Generated,2
generated,2
from,2
cause,2
if,2
regenerated,2
data,2
to,2
<auto-generated>,2
mean,1
reads,1
calculates,1
&,1
in,1
<summary>,1
</summary>,1
standard,1
real,1
deviation,1
number,1
